,t,pixelx,pixely
167,2.88,553.0059,362.8291
168,2.896667,557.9568,347.2692
169,2.913333,555.1277,347.2692
170,2.93,556.5422,349.391
171,2.946667,556.5422,349.391
172,2.963333,556.5422,349.391
173,2.98,556.5422,349.391
174,2.996667,554.4204,349.391
175,3.013333,553.7132,349.391
176,3.03,552.2986,349.391
177,3.046667,551.5914,349.391
178,3.063333,551.5914,349.391
179,3.08,549.4695,349.391
180,3.096667,549.4695,349.391
181,3.113333,548.7623,357.8782
182,3.13,550.1768,357.8782
183,3.146667,552.2986,357.8782
184,3.163333,552.2986,357.8782
185,3.18,552.2986,357.8782
186,3.196667,553.0059,357.8782
187,3.213333,553.0059,357.8782
188,3.23,553.0059,357.8782
189,3.246667,555.835,358.5855
190,3.263333,556.5422,359.2927
191,3.28,556.5422,363.5363
192,3.296667,556.5422,370.609
193,3.313333,556.5422,371.3163
194,3.33,557.2495,372.0236
195,3.346667,557.2495,372.7308
196,3.363333,557.9568,381.2181
197,3.38,557.9568,382.6326
198,3.396667,557.9568,383.3399
199,3.413333,557.9568,383.3399
200,3.43,557.9568,384.7544
201,3.446667,557.9568,385.4617
202,3.463333,557.9568,388.2908
203,3.48,557.9568,388.998
204,3.496667,557.9568,388.998
205,3.513333,557.9568,388.998
206,3.53,559.3713,393.2417
207,3.546667,561.4931,397.4853
208,3.563333,562.2004,400.3143
209,3.58,565.0295,402.4361
210,3.596667,567.1513,403.1434
211,3.613333,568.5658,403.1434
212,3.63,574.9312,402.4361
213,3.646667,574.9312,401.7289
214,3.663333,574.9312,401.7289
215,3.68,577.7603,399.6071
216,3.696667,582.0039,397.4853
217,3.713333,587.6621,397.4853
218,3.73,587.6621,397.4853
219,3.746667,597.5639,397.4853
220,3.763333,597.5639,397.4853
221,3.78,599.6857,397.4853
222,3.796667,599.6857,397.4853
223,3.813333,599.6857,397.4853
224,3.83,601.1002,398.8998
225,3.846667,602.5147,403.1434
226,3.863333,603.222,403.8507
227,3.88,605.3438,406.6798
228,3.896667,605.3438,406.6798
229,3.913333,606.0511,406.6798
230,3.93,608.8802,406.6798
231,3.946667,611.7092,406.6798
232,3.963333,612.4165,406.6798
233,3.98,613.1238,406.6798
234,3.996667,613.831,406.6798
235,4.013333,614.5383,406.6798
236,4.03,615.2456,406.6798
237,4.046667,617.3674,406.6798
238,4.063333,618.0747,406.6798
239,4.08,618.7819,406.6798
240,4.096667,618.7819,406.6798
241,4.113333,618.7819,406.6798
242,4.13,620.9037,404.558
243,4.146667,621.611,404.558
244,4.163333,621.611,404.558
245,4.18,623.0255,403.8507
246,4.196667,623.0255,403.1434
247,4.213333,625.1473,400.3143
248,4.23,637.1709,399.6071
249,4.246667,642.8291,400.3143
250,4.263333,649.9018,400.3143
251,4.28,649.1945,398.8998
252,4.296667,656.9745,398.8998
253,4.313333,663.3399,398.8998
254,4.33,668.998,398.8998
255,4.346667,673.9489,398.8998
256,4.363333,676.778,398.8998
257,4.381667,678.1925,398.8998
258,4.398333,680.3143,398.8998
259,4.415,681.0216,398.8998
260,4.431667,687.387,398.8998
261,4.448333,690.9234,398.1925
262,4.465,690.9234,398.1925
263,4.481667,690.9234,398.1925
264,4.498333,690.9234,398.1925
265,4.515,690.9234,398.1925
266,4.531667,690.9234,397.4853
267,4.548333,689.5088,394.6562
268,4.565,689.5088,393.9489
269,4.581667,687.387,388.2908
270,4.598333,687.387,388.2908
271,4.615,680.3143,379.8035
272,4.631667,677.4853,376.2672
273,4.648333,676.778,375.5599
274,4.665,675.3635,374.1454
275,4.681667,672.5344,373.4381
276,4.698333,661.2181,368.4872
277,4.715,661.2181,368.4872
278,4.731667,642.8291,362.1218
279,4.748333,632.22,358.5855
280,4.765,628.6837,357.1709
281,4.781667,627.2692,355.7564
282,4.798333,627.2692,351.5128
283,4.815,615.9528,343.7328
284,4.831667,611.7092,341.611
285,4.848333,598.9784,338.7819
286,4.865,581.2967,329.5874
287,4.881667,577.7603,327.4656
288,4.898333,567.8585,321.8075
289,4.915,561.4931,319.6857
290,4.931667,548.055,322.5147
291,4.948333,538.1532,323.9293
292,4.965,531.0806,323.222
293,4.981667,521.8861,322.5147
294,4.998333,510.5697,321.1002
295,5.015,505.6189,320.3929
296,5.031667,491.4735,312.613
297,5.048333,490.7662,312.613
298,5.065,496.4244,311.1984
299,5.081667,502.7898,316.8566
300,5.098333,497.1316,318.2711
301,5.115,497.1316,316.8566
302,5.131667,496.4244,316.8566
303,5.148333,482.279,316.8566
304,5.165,470.2554,318.9784
305,5.181667,462.4754,321.8075
306,5.198333,461.0609,320.3929
307,5.215,472.3772,309.7839
308,5.231667,470.9627,314.7348
309,5.248333,470.2554,313.3202
310,5.265,469.5481,310.4912
311,5.281667,468.8409,309.0766
312,5.298333,471.6699,303.4185
313,5.315,479.4499,292.8094
314,5.331667,484.4008,287.1513
315,5.348333,507.7407,275.1277
316,5.365,511.9843,275.835
317,5.381667,514.1061,275.1277
318,5.398333,516.2279,276.5422
319,5.415,516.2279,278.664
320,5.431667,512.6916,285.0295
321,5.448333,511.277,289.2731
322,5.465,508.4479,293.5167
323,5.481667,505.6189,299.1749
324,5.498333,504.9116,302.0039
325,5.515,504.9116,306.9548
326,5.531667,507.0334,326.0511
327,5.548333,508.4479,330.2947
328,5.565,519.7642,326.7583
329,5.581667,519.7642,326.7583
330,5.598333,526.1297,326.7583
331,5.615,526.1297,326.7583
332,5.631667,527.5442,326.7583
333,5.648333,527.5442,326.7583
334,5.665,533.9096,326.0511
335,5.681667,534.6169,324.6365
336,5.698333,534.6169,324.6365
337,5.715,538.1532,324.6365
338,5.731667,540.275,323.222
339,5.748333,541.6896,321.8075
340,5.765,542.3969,320.3929
341,5.781667,542.3969,320.3929
342,5.798333,542.3969,320.3929
343,5.815,542.3969,320.3929
344,5.831667,542.3969,320.3929
345,5.848333,543.1041,320.3929
346,5.865,543.1041,320.3929
347,5.881667,543.1041,320.3929
348,5.898333,543.1041,320.3929
349,5.915,543.1041,320.3929
350,5.931667,543.1041,320.3929
351,5.948333,543.1041,320.3929
352,5.965,543.1041,320.3929
353,5.981667,543.1041,320.3929
354,5.998333,543.1041,320.3929
355,6.015,543.1041,320.3929
356,6.031667,541.6896,320.3929
357,6.048333,541.6896,320.3929
358,6.065,541.6896,320.3929
359,6.083333,540.9823,320.3929
360,6.1,540.9823,320.3929
361,6.116667,540.9823,320.3929
362,6.133333,540.9823,320.3929
363,6.15,540.9823,320.3929
364,6.166667,540.9823,320.3929
365,6.183333,540.9823,320.3929
366,6.2,538.8605,320.3929
367,6.216667,538.8605,320.3929
368,6.233333,538.8605,320.3929
369,6.25,538.8605,320.3929
370,6.266667,538.8605,320.3929
371,6.283333,538.8605,320.3929
372,6.3,538.8605,320.3929
373,6.316667,538.8605,320.3929
374,6.333333,538.8605,320.3929
375,6.35,538.8605,320.3929
376,6.366667,539.5678,326.7583
377,6.383333,539.5678,326.7583
378,6.4,543.1041,326.7583
379,6.416667,545.9332,326.7583
380,6.433333,547.3477,326.7583
381,6.45,547.3477,326.7583
382,6.466667,547.3477,326.7583
383,6.483333,547.3477,328.8802
384,6.5,555.835,331.7092
385,6.516667,557.9568,333.1238
386,6.533333,557.9568,333.831
387,6.55,560.0786,335.9528
388,6.566667,560.7859,336.6601
389,6.583333,571.3949,337.3674
390,6.6,574.224,337.3674
391,6.616667,579.1749,337.3674
392,6.633333,579.1749,337.3674
393,6.65,581.2967,337.3674
394,6.666667,594.7348,337.3674
395,6.683333,594.7348,337.3674
396,6.7,594.7348,337.3674
397,6.716667,601.8075,331.7092
398,6.733333,605.3438,331.7092
399,6.75,605.3438,331.7092
400,6.766667,605.3438,331.7092
401,6.783333,603.9293,331.7092
402,6.8,603.9293,331.7092
403,6.816667,603.9293,331.7092
404,6.833333,603.9293,331.7092
405,6.85,603.9293,331.002
406,6.866667,603.9293,328.1729
407,6.883333,607.4656,321.1002
408,6.9,610.2947,318.2711
409,6.916667,613.1238,317.5639
410,6.933333,613.831,317.5639
411,6.95,614.5383,317.5639
412,6.966667,615.2456,317.5639
413,6.983333,615.2456,317.5639
414,7.0,620.9037,321.1002
415,7.016667,621.611,321.1002
416,7.033333,621.611,321.1002
417,7.05,621.611,321.1002
418,7.066667,621.611,321.1002
419,7.083333,621.611,321.1002
420,7.1,619.4892,320.3929
421,7.116667,614.5383,318.2711
422,7.133333,609.5874,316.1493
423,7.15,608.8802,315.442
424,7.166667,608.1729,315.442
425,7.183333,602.5147,311.9057
426,7.2,596.8566,310.4912
427,7.216667,594.0275,310.4912
428,7.233333,589.0766,310.4912
429,7.25,588.3694,310.4912
430,7.266667,580.5894,310.4912
431,7.283333,563.6149,302.7112
432,7.3,561.4931,300.5894
433,7.316667,561.4931,298.4676
434,7.333333,537.446,292.8094
435,7.35,536.7387,292.8094
436,7.366667,533.2024,289.9804
437,7.383333,509.8625,291.3949
438,7.4,490.7662,291.3949
439,7.416667,480.8644,294.9312
440,7.433333,466.7191,306.9548
441,7.45,451.1591,308.3694
442,7.466667,455.4028,309.7839
443,7.483333,452.5737,309.7839
444,7.5,435.5992,321.8075
445,7.516667,435.5992,333.1238
446,7.533333,423.5756,349.391
447,7.55,417.2102,360.0
448,7.566667,420.7466,357.1709
449,7.583333,415.7957,357.8782
450,7.6,408.723,354.3418
451,7.616667,409.4303,355.0491
452,7.633333,417.9175,355.0491
453,7.65,446.9155,347.2692
454,7.666667,446.2083,347.2692
455,7.683333,439.1356,347.2692
456,7.7,439.1356,347.2692
457,7.716667,443.3792,344.4401
458,7.733333,445.501,344.4401
459,7.75,461.0609,335.9528
460,7.768333,463.1827,335.2456
461,7.785,468.1336,331.7092
462,7.801667,475.2063,329.5874
463,7.818333,480.8644,328.8802
464,7.835,486.5226,327.4656
465,7.851667,499.9607,326.7583
466,7.868333,511.277,323.222
467,7.885,529.666,317.5639
468,7.901667,531.0806,317.5639
469,7.918333,537.446,317.5639
470,7.935,540.9823,317.5639
471,7.951667,555.1277,317.5639
472,7.968333,561.4931,317.5639
473,7.985,567.1513,316.8566
474,8.001667,579.8821,316.1493
475,8.018333,589.7839,316.1493
476,8.035,598.2711,316.1493
477,8.051667,606.7583,315.442
478,8.068333,619.4892,314.7348
479,8.085,628.6837,314.0275
480,8.101667,637.1709,311.9057
481,8.118333,632.9273,311.1984
482,8.135,632.9273,311.1984
483,8.151667,628.6837,311.1984
484,8.168333,632.9273,311.1984
485,8.185,640.7073,311.1984
486,8.201667,645.6582,311.1984
487,8.218333,648.4872,311.1984
488,8.235,651.3163,311.1984
489,8.251667,654.8527,312.613
490,8.268333,655.5599,314.0275
491,8.285,656.9745,316.8566
492,8.301667,661.2181,318.9784
493,8.318333,661.9253,318.9784
494,8.335,662.6326,318.9784
495,8.351667,663.3399,319.6857
496,8.368333,664.0472,319.6857
497,8.385,673.9489,319.6857
498,8.401667,674.6562,319.6857
499,8.418333,675.3635,319.6857
500,8.435,676.0707,319.6857
501,8.451667,678.1925,319.6857
502,8.468333,678.1925,319.6857
503,8.485,681.7289,316.1493
504,8.501667,686.6798,315.442
505,8.518333,686.6798,315.442
506,8.535,686.6798,315.442
507,8.551667,690.2161,311.1984
508,8.568333,690.2161,311.1984
509,8.585,690.2161,311.1984
510,8.601667,690.2161,311.1984
511,8.618333,690.2161,311.1984
512,8.635,690.2161,311.1984
513,8.651667,690.2161,314.0275
514,8.668333,690.2161,314.0275
515,8.685,684.558,316.8566
516,8.701667,684.558,317.5639
517,8.718333,684.558,317.5639
518,8.735,684.558,317.5639
519,8.751667,684.558,317.5639
520,8.768333,684.558,316.8566
521,8.785,684.558,314.7348
522,8.801667,684.558,314.7348
