,t,pixelx,pixely
0,0.09333333,846.1679,354.1374
1,0.11,838.3511,360.0
2,0.1266667,830.5344,356.0916
3,0.1433333,822.7176,356.0916
4,0.16,822.7176,356.0916
5,0.1766667,809.0382,354.1374
6,0.1933333,797.313,352.1832
7,0.21,783.6336,348.2748
8,0.2266667,773.8626,340.458
9,0.2433333,758.229,332.6412
10,0.26,752.3664,330.687
11,0.2766667,726.9618,320.916
12,0.2933333,705.5,312.5
13,0.31,682.5,305.5
14,0.3266667,660.5,289.0
15,0.3433333,645.0,273.5
16,0.36,640.5,252.5
17,0.3766667,634.5,246.0
18,0.3933333,625.5,243.5
19,0.41,606.5,236.5
20,0.4266667,591.5,237.5
21,0.4433333,583.0,241.5
22,0.46,573.5,248.0
23,0.4766667,563.0,258.0
24,0.4933333,548.5,275.0
25,0.51,533.0,282.0
26,0.5266667,517.5,299.5
27,0.5433333,508.0,315.5
28,0.56,502.0,336.5
29,0.5766667,501.0,354.0
30,0.5933333,508.5,374.0
31,0.61,518.0,393.0
32,0.6266667,529.0,404.0
33,0.6433333,524.5,391.5
34,0.66,521.0,388.0
35,0.6766667,526.0,384.5
36,0.6933333,533.5,387.5
37,0.71,532.0,386.5
38,0.7266667,536.0,378.5
39,0.7433333,542.0,377.5
40,0.76,545.0,377.5
41,0.7766667,552.5,375.0
42,0.7933333,562.0,372.5
43,0.81,580.5,371.0
44,0.8266667,576.5,371.0
45,0.8433333,580.0,364.0
46,0.86,588.0,363.5
47,0.8766667,592.0,363.5
48,0.8933333,600.0,360.0
49,0.91,607.5,360.0
50,0.9266667,618.5,355.5
51,0.9433333,632.0,353.5
52,0.96,628.0,355.0
53,0.9766667,638.0,354.5
54,0.9933333,653.0,354.5
55,1.011667,660.0,354.5
56,1.028333,668.5,355.0
57,1.045,673.0,352.5
58,1.061667,684.5,357.5
59,1.078333,698.0,357.5
60,1.095,705.5,357.5
61,1.111667,714.0,356.0
62,1.128333,730.0,353.0
63,1.145,742.5,353.5
64,1.161667,744.5,356.0
65,1.178333,741.0,355.0
66,1.195,751.5,355.0
67,1.211667,765.5,356.0
68,1.228333,771.5,356.0
69,1.245,779.5,362.5
70,1.261667,787.5,362.5
71,1.278333,792.5,361.5
