,t,pixelx_kp1,pixely_kp1,pixelx_kp2,pixely_kp2,pixelx_kp3,pixely_kp3,angle1_deg,angle2_deg
0,0.1,766.0458,317.0076,846.1679,354.1374,986.0,451.0,24.863723852227164,9.846872126806696
1,0.1333333333333333,766.0458,317.0076,847.6608,356.24260000000004,995.0815,442.87,25.675115951257773,4.764244775619011
2,0.1666666666666666,766.0458,317.0076,851.8675,356.24260000000004,994.9204,435.0754,24.5683987989738,4.289638125082156
3,0.2,766.0458,317.0076,846.9737,350.91970000000003,997.5991,421.8456000000001,22.73567738183188,2.478947603715136
4,0.2333333333333333,766.0458,317.0076,838.376,343.4381000000001,988.5227,415.9222,20.073033736660612,5.696134881890272
5,0.2666666666666666,766.0458,317.0076,839.5124,338.61800000000005,971.6115,414.4739,16.39138969612893,13.474552184365795
6,0.3,766.0458,317.0076,820.9368,323.9673,932.5233,422.5125000000001,7.226047633677635,34.22258766502989
7,0.3333333333333333,766.0458,317.0076,797.1548,307.54,857.4333,433.9181,343.0730879045037,81.42719337462916
8,0.3666666666666666,766.0458,317.0076,798.3729,278.1127,776.8729,410.6127,309.73131962573,149.4854006226614
9,0.4,766.0458,317.0076,796.811,271.9418,717.2067000000001,357.3616,304.3202939932311,171.33857965915718
10,0.4333333333333333,766.0458,317.0076,786.8582,270.1854,699.3582,330.6854,293.96507759109494,148.62616704815392
11,0.4666666666666667,766.0458,317.0076,775.9309,273.6127,671.4309,334.6127,282.832665357606,133.10614469181445
12,0.5,766.0458,317.0076,772.1489,290.71090000000004,642.6489,351.71090000000004,283.06623520635674,128.28866235689694
13,0.5333333333333333,766.0458,317.0076,758.8307,315.21090000000004,631.3307,382.7109,193.98335294339378,41.880623974341425
14,0.5666666666666667,766.0458,317.0076,744.0379,345.8455,617.0379,446.3455,127.3493853899916,14.29468661873955
15,0.6,766.0458,317.0076,746.2943,369.90740000000005,648.7943,490.90740000000005,110.47441011657975,18.386940249268566
